,Name,Team,ERA,FIP,WAR,Fantasy PTS
0,Edwin Diaz,Mariners,2.63,2.57,1.3,417.0
1,Chris Sale,Red Sox,2.76,2.62,6.6,813.0
2,Craig Kimbrel,,2.79,2.72,1.4,289.0
3,Dellin Betances,Yankees,2.85,2.8,1.3,308.0
4,Jacob deGrom,Mets,2.95,2.83,5.9,727.0
5,Aroldis Chapman,Yankees,2.77,2.9,1.3,392.0
6,Felipe Vazquez,Pirates,2.93,2.91,1.0,377.0
7,Josh Hader,Brewers,2.95,3.0,1.0,270.0
8,Corey Knebel,Brewers,3.05,3.01,1.0,286.0
9,Max Scherzer,Nationals,3.12,3.02,5.8,740.0
10,Andrew Miller,,3.07,3.07,0.6,182.0
11,Blake Treinen,Athletics,3.08,3.09,0.9,299.0
12,Ray Black,Giants,3.02,3.1,0.3,131.0
13,Keone Kela,Pirates,3.25,3.12,1.0,262.0
14,Trevor Rosenthal,Nationals,3.1,3.15,0.9,247.0
15,Will Smith,Giants,3.08,3.18,0.9,266.0
16,Diego Castillo,Rays,3.12,3.18,1.0,271.0
17,Kirby Yates,Padres,3.28,3.2,0.9,339.0
18,Matt Barnes,Red Sox,3.27,3.23,0.8,265.0
19,Zach Britton,,3.01,3.24,0.3,97.0
20,Ryan Pressly,Astros,3.32,3.26,0.8,262.0
21,David Robertson,,3.32,3.26,0.8,236.0
22,Justin Verlander,Astros,3.36,3.28,5.1,671.0
23,Kenley Jansen,Dodgers,3.34,3.29,0.9,412.0
24,Noah Syndergaard,Mets,3.55,3.29,3.6,504.0
25,Walker Buehler,Dodgers,3.29,3.3,3.3,528.0
26,Blake Snell,Rays,3.24,3.31,4.0,623.0
27,Clayton Kershaw,Dodgers,3.25,3.32,3.7,565.0
28,Chad Green,Yankees,3.33,3.32,0.8,222.0
29,Carlos Carrasco,Indians,3.4,3.33,4.5,613.0
30,Gerrit Cole,Astros,3.47,3.33,4.5,616.0
31,Corey Kluber,Indians,3.46,3.37,4.8,624.0
32,Scott Alexander,Dodgers,3.11,3.37,0.5,186.0
33,Archie Bradley,Diamondbacks,3.51,3.38,0.7,302.0
34,Sean Doolittle,Nationals,3.34,3.38,0.8,297.0
35,Nick Anderson,Marlins,3.34,3.4,0.1,46.0
36,Ryne Stanek,Rays,3.28,3.41,0.6,170.0
37,Jose Alvarado,Rays,3.16,3.43,0.6,380.0
38,Ross Stripling,Dodgers,3.45,3.44,0.9,132.0
39,Brandon Morrow,Cubs,3.44,3.44,0.7,376.0
40,Chris Archer,Pirates,3.64,3.45,3.8,535.0
41,Seranthony Dominguez,Phillies,3.41,3.45,0.6,226.0
42,Liam Hendriks,Athletics,3.54,3.45,0.2,93.0
43,Danny Salazar,Indians,3.41,3.45,1.1,154.0
44,Aaron Nola,Phillies,3.59,3.46,4.1,552.0
45,James Paxton,Yankees,3.47,3.46,4.0,537.0
46,Jeremy Jeffress,Brewers,3.42,3.47,0.5,191.0
47,A.J. Minter,Braves,3.38,3.47,0.7,261.0
48,Luis Severino,Yankees,3.47,3.48,4.5,602.0
49,Chris Paddack,Padres,3.56,3.48,1.4,220.0
50,Brad Hand,Indians,3.41,3.48,0.7,373.0
51,Lance McCullers Jr.,Astros,3.51,3.49,0.0,23.0
52,Roberto Osuna,Astros,3.54,3.49,0.8,360.0
53,Charlie Morton,,3.51,3.49,3.3,492.0
