Name,Tm,Pos,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,Bats,Thr,Signed,Signed From,Video
"Vladimir Guerrero Jr.","TOR","3B",1,1,"","70",2019,"Med","19.7","6' 1""","215","R","R","2015 J2 (TOR)","Dominican Republic","0pq1nJRuxC4"
"Fernando Tatis Jr.","SDP","SS",2,1,"","65",2019,"High","19.9","6' 3""","185","R","R","2015 J2 (CHW)","Dominican Republic","f-7iDniIWf0"
"Eloy Jimenez","CHW","RF",3,1,"","65",2019,"High","22.0","6' 4""","225","R","R","2013 J2 (CHC)","Dominican Republic","qzcfGawJz30"
"Victor Robles","WSN","CF",4,1,"","65",2018,"Low","21.5","6' 0""","185","R","R","2013 J2 (WAS)","Dominican Republic","3VwXSd7XgXo"
"Royce Lewis","MIN","SS",5,1,"&uarr;","60",2020,"High","19.4","6' 2""","188","R","R","2017 Draft Rnd 1 (MIN)","JSerra HS (CA)","IRGoLxDpn0U"
"Wander Franco","TBR","SS",6,1,"&uarr;","60",2021,"High","17.7","5' 10""","190","S","R","2017 J2 (TBR)","Dominican Republic","vMLD9QX-hPo"
"Bo Bichette","TOR","SS",7,2,"","60",2019,"High","20.7","6' 0""","200","R","R","2016 Draft Rnd 2 (TOR)","Lakewood HS (FL)","lRUNUyhGHkM"
"Kyle Tucker","HOU","RF",8,1,"","60",2019,"Med","21.8","6' 4""","200","L","R","2015 Draft Rnd 1 (HOU)","Plant HS (FL)","z84M9j2JoEc"
"Nick Senzel","CIN","3B",9,1,"","60",2018,"Med","23.4","6' 1""","205","R","R","2016 Draft Rnd 1 (CIN)","Tennessee","1Jkza_J-9MU"
"Carter Kieboom","WSN","SS",10,2,"","60",2020,"Med","21.2","6' 2""","190","R","R","2016 Draft Rnd 1 (WAS)","Walton HS (GA)","bIz5j-OJPrY"
"Brendan Rodgers","COL","SS",11,1,"","60",2019,"Med","22.3","6' 0""","180","R","R","2015 Draft Rnd 1 (COL)","Lake Mary HS (FL)","8R3NqST3CPs"
"Forrest Whitley","HOU","RHP",12,2,"","60",2018,"High","21.2","6' 7""","230","R","R","2016 Draft Rnd 1 (HOU)","Alamo Heights HS (TX)","3dPGupFsWFY"
"Taylor Trammell","CIN","CF",13,2,"","60",2021,"Med","21.2","6' 2""","195","L","L","2016 Draft Rnd 1 (CIN)","Mount Paran HS (GA)","q4xKSJPOmr4"
"Brendan McKay","TBR","LHP/1B",14,2,"","60",2019,"High","22.9","6' 2""","212","L","L","2017 Draft Rnd 1 (TBR)","Louisville","aCKSVKfZpv0"
"Alex Kirilloff","MIN","RF",15,2,"&uarr;","60",2020,"High","21.0","6' 2""","195","L","L","2016 Draft Rnd 1 (MIN)","Plum HS (PA)","l3xPPnRQA7o"
"Sixto Sanchez","PHI","RHP",16,1,"&darr;","60",2020,"High","20.3","6' 0""","185","R","R","2014 J2 (PHI)","Dominican Republic","OFHkPmNCPOI"
"Jo Adell","LAA","RF",17,1,"&uarr;","60",2021,"High","19.6","6' 2""","195","R","R","2017 Draft Rnd 1 (LAA)","Ballard HS (KY)","tpQIfgNoqIE"
"Cristian Pache","ATL","CF",18,1,"&uarr;","60",2021,"Med","20.0","6' 2""","185","R","R","2015 J2 (ATL)","Dominican Republic","TTrN1fNVTzI"
"Nick Madrigal","CHW","2B",19,2,"&uarr;","60",2020,"Low","21.7","5' 7""","160","R","R","2018 Draft Rnd 1 (CHW)","Oregon State","tQxQekapA8k"
"MacKenzie Gore","SDP","LHP",20,2,"&darr;","55",2021,"High","19.7","6' 3""","180","L","L","2017 Draft Rnd 1 (SDP)","Whiteville HS (NC)","JLkZukR_QSI"
